Target response,Target response,Target response,Target response,Target response,Target response,Target response,Target response,Target response,Target response,Target response,Target response,Target response,Target response,Target response,Target response,Target response,Target response,Target response,Target response,Target response,Target response,Target response,Target response,Target response,Target response,Target response,Target response,Target response,Target response,Target response,Target response,Target response,Target response,Target response,Target response,Target response,Target response,Target response,Target response,Target response,Target response,Target response,Target response,Target response,Target response,Target response,Target response,Target response,Target response,Target response
Phase 1,Phase 1,Phase 1,Phase 1,Phase 1,Phase 1,Phase 1,Phase 1,Phase 1,Phase 1,Phase 1,Phase 1,Phase 1,Phase 1,Phase 1,Phase 1,Phase 1,Phase 1,Phase 1,Phase 1,Phase 1,Phase 1,Phase 1,Phase 1,Phase 1,Phase 1,Phase 1,Phase 1,Phase 1,Phase 1,Phase 1,Phase 1,Phase 1,Phase 1,Phase 1,Phase 1,Phase 1,Phase 1,Phase 1,Phase 1,Phase 1,Phase 1,Phase 1,Phase 1,Phase 1,Phase 1,Phase 1,Phase 1,Phase 1,Phase 1,Phase 1
6.0,0.0,0.0,0.0,0.0,7.0,3.0,0.0,0.0,11.0,27.0,0.0,0.0,6.0,0.0,1.0,0.0,0.0,36.0,31.0,0.0,0.0,19.0,3.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,6.0,0.0,13.0,0.0,0.0,2.0,0.0,0.0,17.0,0.0,57.0,19.0,0.0,8.0,0.0,10.0,0.0,0.0,64.0,0.0
4.0,0.0,0.0,0.0,0.0,0.0,12.0,0.0,0.0,11.0,25.0,0.0,0.0,17.0,0.0,2.0,0.0,0.0,40.0,0.0,0.0,0.0,24.0,8.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,15.0,0.0,6.0,0.0,0.0,7.0,0.0,0.0,16.0,0.0,57.0,14.0,0.0,6.0,0.0,14.0,0.0,0.0,25.0,0.0
14.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5.0,19.0,0.0,0.0,4.0,0.0,2.0,0.0,0.0,45.0,0.0,0.0,0.0,10.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,6.0,0.0,0.0,38.0,0.0,0.0,14.0,2.0,12.0,39.0,0.0,9.0,0.0,11.0,0.0,0.0,5.0,0.0
19.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4.0,14.0,0.0,0.0,4.0,0.0,1.0,0.0,0.0,25.0,0.0,0.0,0.0,13.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,9.0,0.0,6.0,0.0,0.0,3.0,0.0,0.0,19.0,4.0,0.0,33.0,0.0,5.0,0.0,7.0,0.0,0.0,9.0,0.0
9.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,17.0,17.0,0.0,0.0,16.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,24.0,4.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5.0,0.0,19.0,0.0,0.0,2.0,0.0,0.0,18.0,3.0,0.0,23.0,0.0,14.0,0.0,13.0,0.0,0.0,3.0,0.0

Response on Left workplace,Response on Left workplace,Response on Left workplace,Response on Left workplace,Response on Left workplace,Response on Left workplace,Response on Left workplace,Response on Left workplace,Response on Left workplace,Response on Left workplace,Response on Left workplace,Response on Left workplace,Response on Left workplace,Response on Left workplace,Response on Left workplace,Response on Left workplace,Response on Left workplace,Response on Left workplace,Response on Left workplace,Response on Left workplace,Response on Left workplace,Response on Left workplace,Response on Left workplace,Response on Left workplace,Response on Left workplace,Response on Left workplace,Response on Left workplace,Response on Left workplace,Response on Left workplace,Response on Left workplace,Response on Left workplace,Response on Left workplace,Response on Left workplace,Response on Left workplace,Response on Left workplace,Response on Left workplace,Response on Left workplace,Response on Left workplace,Response on Left workplace,Response on Left workplace,Response on Left workplace,Response on Left workplace,Response on Left workplace,Response on Left workplace,Response on Left workplace,Response on Left workplace,Response on Left workplace,Response on Left workplace,Response on Left workplace,Response on Left workplace,Response on Left workplace
Phase 1,Phase 1,Phase 1,Phase 1,Phase 1,Phase 1,Phase 1,Phase 1,Phase 1,Phase 1,Phase 1,Phase 1,Phase 1,Phase 1,Phase 1,Phase 1,Phase 1,Phase 1,Phase 1,Phase 1,Phase 1,Phase 1,Phase 1,Phase 1,Phase 1,Phase 1,Phase 1,Phase 1,Phase 1,Phase 1,Phase 1,Phase 1,Phase 1,Phase 1,Phase 1,Phase 1,Phase 1,Phase 1,Phase 1,Phase 1,Phase 1,Phase 1,Phase 1,Phase 1,Phase 1,Phase 1,Phase 1,Phase 1,Phase 1,Phase 1,Phase 1
0.0,0.0,5.0,0.0,9.0,3.0,4.0,4.0,26.0,2.0,0.0,12.0,2.0,0.0,37.0,3.0,4.0,5.0,1.0,1.0,3.0,3.0,1.0,1.0,16.0,14.0,33.0,6.0,0.0,23.0,7.0,1.0,2.0,1.0,6.0,19.0,11.0,8.0,25.0,2.0,5.0,2.0,0.0,0.0,0.0,2.0,2.0,8.0,22.0,25.0,15.0
0.0,2.0,4.0,0.0,1.0,13.0,0.0,5.0,55.0,0.0,0.0,7.0,7.0,0.0,42.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,51.0,22.0,0.0,8.0,2.0,30.0,4.0,0.0,0.0,2.0,16.0,5.0,6.0,5.0,30.0,1.0,6.0,0.0,1.0,0.0,3.0,3.0,0.0,3.0,25.0,35.0,30.0
