Target response,Target response,Target response,Target response,Target response,Target response,Target response,Target response,Target response,Target response,Target response,Target response,Target response,Target response,Target response,Target response,Target response,Target response,Target response,Target response,Target response,Target response,Target response,Target response,Target response,Target response,Target response,Target response,Target response,Target response,Target response,Target response,Target response,Target response,Target response,Target response,Target response,Target response,Target response,Target response,Target response,Target response,Target response,Target response,Target response,Target response,Target response,Target response,Target response,Target response
Phase 1,Phase 1,Phase 1,Phase 1,Phase 1,Phase 1,Phase 1,Phase 1,Phase 1,Phase 1,Phase 1,Phase 1,Phase 1,Phase 1,Phase 1,Phase 1,Phase 1,Phase 1,Phase 1,Phase 1,Phase 1,Phase 1,Phase 1,Phase 1,Phase 1,Phase 1,Phase 1,Phase 1,Phase 1,Phase 1,Phase 1,Phase 1,Phase 1,Phase 1,Phase 1,Phase 1,Phase 1,Phase 1,Phase 1,Phase 1,Phase 1,Phase 1,Phase 1,Phase 1,Phase 1,Phase 1,Phase 1,Phase 1,Phase 1,Phase 1
46.0,0.0,9.0,17.0,43.0,22.0,52.0,8.0,24.0,34.0,9.0,45.0,12.0,3.0,14.0,13.0,43.0,7.0,62.0,64.0,30.0,12.0,38.0,13.0,36.0,27.0,8.0,50.0,39.0,48.0,42.0,2.0,4.0,6.0,23.0,46.0,35.0,38.0,6.0,29.0,34.0,44.0,27.0,5.0,5.0,27.0,24.0,30.0,39.0,3.0
37.0,0.0,13.0,15.0,43.0,17.0,30.0,5.0,40.0,26.0,9.0,50.0,25.0,4.0,14.0,19.0,43.0,6.0,61.0,47.0,18.0,12.0,36.0,13.0,79.0,14.0,8.0,49.0,41.0,23.0,40.0,2.0,4.0,6.0,36.0,35.0,37.0,41.0,5.0,32.0,34.0,46.0,22.0,5.0,6.0,38.0,21.0,23.0,29.0,3.0
38.0,9.0,13.0,13.0,49.0,24.0,0.0,5.0,23.0,37.0,11.0,43.0,21.0,4.0,9.0,26.0,39.0,5.0,35.0,51.0,21.0,8.0,24.0,9.0,46.0,27.0,11.0,24.0,45.0,35.0,49.0,3.0,8.0,5.0,35.0,41.0,24.0,34.0,4.0,30.0,19.0,37.0,11.0,5.0,5.0,5.0,0.0,21.0,41.0,4.0
45.0,18.0,21.0,10.0,43.0,27.0,0.0,4.0,34.0,41.0,13.0,46.0,19.0,5.0,7.0,23.0,40.0,7.0,0.0,46.0,26.0,8.0,15.0,15.0,0.0,40.0,8.0,0.0,42.0,52.0,39.0,2.0,7.0,4.0,29.0,0.0,29.0,35.0,3.0,32.0,26.0,36.0,24.0,6.0,4.0,4.0,0.0,34.0,22.0,3.0
42.0,19.0,6.0,13.0,16.0,29.0,0.0,7.0,31.0,34.0,7.0,42.0,11.0,4.0,19.0,0.0,33.0,8.0,0.0,9.0,32.0,10.0,35.0,7.0,0.0,41.0,17.0,0.0,49.0,51.0,23.0,2.0,9.0,1.0,36.0,25.0,34.0,27.0,6.0,33.0,32.0,1.0,29.0,6.0,6.0,7.0,1.0,30.0,21.0,4.0
9.0,0.0,15.0,13.0,0.0,29.0,0.0,5.0,54.0,8.0,11.0,5.0,29.0,2.0,16.0,0.0,27.0,11.0,0.0,0.0,10.0,11.0,11.0,9.0,0.0,40.0,7.0,0.0,41.0,30.0,53.0,2.0,11.0,7.0,29.0,36.0,16.0,0.0,3.0,24.0,38.0,0.0,29.0,7.0,3.0,18.0,0.0,28.0,9.0,3.0
0.0,2.0,21.0,11.0,0.0,24.0,0.0,8.0,37.0,0.0,10.0,0.0,26.0,6.0,0.0,0.0,25.0,9.0,0.0,0.0,15.0,7.0,27.0,0.0,0.0,1.0,5.0,0.0,30.0,28.0,36.0,2.0,14.0,6.0,34.0,43.0,0.0,0.0,4.0,24.0,40.0,0.0,20.0,5.0,4.0,43.0,5.0,23.0,0.0,3.0
0.0,15.0,26.0,8.0,0.0,25.0,0.0,10.0,9.0,0.0,14.0,0.0,28.0,3.0,3.0,0.0,0.0,8.0,0.0,0.0,22.0,6.0,8.0,0.0,0.0,0.0,18.0,0.0,25.0,16.0,30.0,1.0,11.0,7.0,26.0,0.0,0.0,0.0,2.0,25.0,8.0,0.0,12.0,6.0,4.0,31.0,38.0,26.0,0.0,2.0
0.0,8.0,51.0,13.0,0.0,20.0,0.0,11.0,28.0,0.0,15.0,0.0,29.0,3.0,15.0,0.0,0.0,9.0,0.0,0.0,30.0,11.0,15.0,0.0,0.0,0.0,16.0,0.0,0.0,49.0,40.0,4.0,13.0,8.0,0.0,0.0,0.0,0.0,3.0,22.0,0.0,0.0,13.0,6.0,5.0,31.0,5.0,29.0,0.0,3.0
0.0,5.0,30.0,13.0,0.0,12.0,0.0,6.0,9.0,0.0,10.0,0.0,27.0,4.0,11.0,10.0,0.0,9.0,0.0,0.0,30.0,11.0,8.0,1.0,0.0,0.0,11.0,0.0,0.0,40.0,20.0,4.0,8.0,4.0,0.0,0.0,0.0,0.0,2.0,22.0,0.0,0.0,33.0,5.0,4.0,42.0,38.0,28.0,0.0,3.0
0.0,12.0,49.0,13.0,0.0,20.0,0.0,8.0,0.0,0.0,13.0,0.0,30.0,2.0,15.0,19.0,0.0,10.0,0.0,0.0,33.0,12.0,10.0,5.0,0.0,0.0,15.0,0.0,0.0,4.0,0.0,2.0,13.0,8.0,0.0,0.0,0.0,0.0,3.0,17.0,0.0,0.0,22.0,6.0,4.0,30.0,34.0,27.0,0.0,3.0
0.0,0.0,16.0,11.0,0.0,23.0,0.0,7.0,0.0,0.0,14.0,0.0,26.0,3.0,11.0,12.0,0.0,6.0,0.0,0.0,29.0,12.0,7.0,0.0,0.0,0.0,16.0,0.0,0.0,0.0,0.0,3.0,35.0,6.0,0.0,0.0,0.0,0.0,3.0,21.0,0.0,0.0,19.0,6.0,4.0,28.0,20.0,28.0,0.0,3.0
0.0,0.0,14.0,13.0,0.0,24.0,0.0,6.0,0.0,0.0,17.0,0.0,38.0,5.0,16.0,16.0,0.0,6.0,0.0,0.0,47.0,7.0,6.0,0.0,0.0,0.0,13.0,0.0,0.0,0.0,0.0,2.0,31.0,7.0,0.0,0.0,0.0,0.0,3.0,16.0,0.0,0.0,25.0,5.0,3.0,23.0,23.0,30.0,0.0,5.0
0.0,0.0,14.0,11.0,0.0,19.0,0.0,5.0,0.0,0.0,19.0,0.0,40.0,4.0,14.0,5.0,0.0,6.0,0.0,0.0,40.0,12.0,11.0,10.0,0.0,0.0,10.0,0.0,0.0,0.0,0.0,1.0,30.0,5.0,0.0,0.0,0.0,0.0,4.0,20.0,0.0,0.0,19.0,6.0,5.0,0.0,4.0,31.0,0.0,2.0
0.0,28.0,4.0,11.0,0.0,15.0,0.0,1.0,0.0,0.0,21.0,0.0,16.0,5.0,23.0,0.0,0.0,8.0,0.0,0.0,36.0,7.0,8.0,16.0,0.0,0.0,6.0,0.0,0.0,0.0,0.0,3.0,25.0,6.0,0.0,0.0,0.0,0.0,5.0,18.0,0.0,0.0,21.0,6.0,5.0,0.0,0.0,25.0,0.0,3.0
Phase 2,Phase 2,Phase 2,Phase 2,Phase 2,Phase 2,Phase 2,Phase 2,Phase 2,Phase 2,Phase 2,Phase 2,Phase 2,Phase 2,Phase 2,Phase 2,Phase 2,Phase 2,Phase 2,Phase 2,Phase 2,Phase 2,Phase 2,Phase 2,Phase 2,Phase 2,Phase 2,Phase 2,Phase 2,Phase 2,Phase 2,Phase 2,Phase 2,Phase 2,Phase 2,Phase 2,Phase 2,Phase 2,Phase 2,Phase 2,Phase 2,Phase 2,Phase 2,Phase 2,Phase 2,Phase 2,Phase 2,Phase 2,Phase 2,Phase 2
