Target response,Target response,Target response,Target response,Target response,Target response,Target response,Target response,Target response,Target response,Target response,Target response,Target response,Target response,Target response,Target response,Target response,Target response,Target response,Target response,Target response,Target response,Target response,Target response,Target response,Target response,Target response,Target response,Target response,Target response,Target response,Target response,Target response,Target response,Target response,Target response,Target response,Target response,Target response,Target response,Target response,Target response,Target response,Target response,Target response,Target response,Target response,Target response,Target response,Target response
Phase 1,Phase 1,Phase 1,Phase 1,Phase 1,Phase 1,Phase 1,Phase 1,Phase 1,Phase 1,Phase 1,Phase 1,Phase 1,Phase 1,Phase 1,Phase 1,Phase 1,Phase 1,Phase 1,Phase 1,Phase 1,Phase 1,Phase 1,Phase 1,Phase 1,Phase 1,Phase 1,Phase 1,Phase 1,Phase 1,Phase 1,Phase 1,Phase 1,Phase 1,Phase 1,Phase 1,Phase 1,Phase 1,Phase 1,Phase 1,Phase 1,Phase 1,Phase 1,Phase 1,Phase 1,Phase 1,Phase 1,Phase 1,Phase 1,Phase 1
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,11.0,0.0,0.0,0.0,0.0,0.0,0.0,3.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,9.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,16.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,11.0,3.0

Alt response,Alt response,Alt response,Alt response,Alt response,Alt response,Alt response,Alt response,Alt response,Alt response,Alt response,Alt response,Alt response,Alt response,Alt response,Alt response,Alt response,Alt response,Alt response,Alt response,Alt response,Alt response,Alt response,Alt response,Alt response,Alt response,Alt response,Alt response,Alt response,Alt response,Alt response,Alt response,Alt response,Alt response,Alt response,Alt response,Alt response,Alt response,Alt response,Alt response,Alt response,Alt response,Alt response,Alt response,Alt response,Alt response,Alt response,Alt response,Alt response,Alt response
Phase 1,Phase 1,Phase 1,Phase 1,Phase 1,Phase 1,Phase 1,Phase 1,Phase 1,Phase 1,Phase 1,Phase 1,Phase 1,Phase 1,Phase 1,Phase 1,Phase 1,Phase 1,Phase 1,Phase 1,Phase 1,Phase 1,Phase 1,Phase 1,Phase 1,Phase 1,Phase 1,Phase 1,Phase 1,Phase 1,Phase 1,Phase 1,Phase 1,Phase 1,Phase 1,Phase 1,Phase 1,Phase 1,Phase 1,Phase 1,Phase 1,Phase 1,Phase 1,Phase 1,Phase 1,Phase 1,Phase 1,Phase 1,Phase 1,Phase 1
0.0,12.0,124.0,7.0,5.0,13.0,19.0,4.0,8.0,39.0,17.0,14.0,8.0,49.0,17.0,7.0,33.0,34.0,24.0,54.0,49.0,13.0,67.0,5.0,14.0,130.0,2.0,15.0,24.0,34.0,46.0,15.0,8.0,77.0,0.0,18.0,112.0,15.0,24.0,79.0,13.0,43.0,6.0,36.0,14.0,6.0,31.0,11.0,10.0,19.0
0.0,0.0,58.0,0.0,0.0,24.0,38.0,3.0,9.0,2.0,18.0,10.0,9.0,40.0,29.0,14.0,51.0,0.0,14.0,49.0,15.0,29.0,0.0,9.0,20.0,15.0,7.0,10.0,67.0,35.0,25.0,96.0,12.0,68.0,9.0,0.0,0.0,12.0,40.0,191.0,42.0,11.0,11.0,86.0,74.0,5.0,36.0,54.0,14.0,11.0
0.0,0.0,38.0,7.0,7.0,14.0,31.0,5.0,5.0,0.0,13.0,11.0,2.0,32.0,19.0,9.0,55.0,0.0,31.0,0.0,15.0,77.0,41.0,0.0,18.0,12.0,34.0,0.0,25.0,9.0,35.0,182.0,6.0,12.0,5.0,28.0,140.0,1.0,0.0,0.0,13.0,88.0,5.0,92.0,60.0,4.0,4.0,0.0,9.0,2.0
0.0,0.0,23.0,0.0,4.0,4.0,20.0,2.0,6.0,0.0,18.0,9.0,0.0,63.0,28.0,0.0,21.0,0.0,3.0,0.0,19.0,4.0,0.0,7.0,12.0,8.0,33.0,0.0,37.0,37.0,82.0,0.0,6.0,16.0,4.0,0.0,4.0,0.0,0.0,0.0,14.0,32.0,3.0,126.0,0.0,0.0,1.0,14.0,2.0,5.0
0.0,0.0,16.0,0.0,6.0,1.0,36.0,2.0,3.0,0.0,5.0,8.0,0.0,37.0,21.0,0.0,54.0,0.0,8.0,0.0,11.0,7.0,0.0,0.0,10.0,24.0,35.0,0.0,27.0,29.0,12.0,0.0,0.0,11.0,12.0,0.0,0.0,0.0,0.0,0.0,12.0,38.0,0.0,102.0,0.0,19.0,3.0,41.0,9.0,0.0
Phase 2,Phase 2,Phase 2,Phase 2,Phase 2,Phase 2,Phase 2,Phase 2,Phase 2,Phase 2,Phase 2,Phase 2,Phase 2,Phase 2,Phase 2,Phase 2,Phase 2,Phase 2,Phase 2,Phase 2,Phase 2,Phase 2,Phase 2,Phase 2,Phase 2,Phase 2,Phase 2,Phase 2,Phase 2,Phase 2,Phase 2,Phase 2,Phase 2,Phase 2,Phase 2,Phase 2,Phase 2,Phase 2,Phase 2,Phase 2,Phase 2,Phase 2,Phase 2,Phase 2,Phase 2,Phase 2,Phase 2,Phase 2,Phase 2,Phase 2
